短資,国内債,株式,転換社債,外国債券,外国株式
0.24,1.01,5.01,2.82,2.6,4.66
0.49,0.65,0.8,0.76,0.44,0.78
0.06,0.03,-0.02,-0.01,-0.02,-0.11
0.03,1.01,0.8,0.91,-0.27,-0.03
-0.02,0.8,25.06,10.77,-0.7,5.9
-0.01,0.91,10.77,7.93,-0.62,2.95
-0.02,-0.27,-0.7,-0.62,6.75,7.53
-0.11,-0.03,5.9,2.95,7.53,21.64
